condition,N,eligible_parent_count,UI,NSS,positive_parent_count,population_sign_p,holm_p,SEP
baseline,6,12,0.0,-2.8570602139290564,0,1.0,1.0,False
baseline,7,12,0.0,-2.6355713982029543,0,1.0,1.0,False
baseline,8,12,0.0,-2.291226623931255,0,1.0,1.0,False
baseline,9,12,0.0,-2.2871340308658166,0,1.0,1.0,False
baseline,10,12,0.0,-3.490148712050712,0,1.0,1.0,False
baseline,11,12,0.0,-3.7198577984301293,0,1.0,1.0,False
baseline,12,12,0.0,-2.6366942496635373,0,1.0,1.0,False
baseline,13,12,0.0,-3.32145606225823,0,1.0,1.0,False
baseline,14,12,0.0,-3.1924968267330005,0,1.0,1.0,False
calibration_scale_095,6,12,0.0,-2.8585021495018847,0,1.0,1.0,False
calibration_scale_095,7,12,0.0,-2.6407326929133514,0,1.0,1.0,False
calibration_scale_095,8,12,0.0,-2.290440799125728,0,1.0,1.0,False
calibration_scale_095,9,12,0.0,-2.2819486730488574,0,1.0,1.0,False
calibration_scale_095,10,12,0.0,-3.480543627128615,0,1.0,1.0,False
calibration_scale_095,11,12,0.0,-3.7200098282536826,0,1.0,1.0,False
calibration_scale_095,12,12,0.0,-2.6358638314309237,0,1.0,1.0,False
calibration_scale_095,13,12,0.0,-3.326507539394888,0,1.0,1.0,False
calibration_scale_095,14,12,0.0,-3.1974212504881816,0,1.0,1.0,False
calibration_scale_105,6,12,0.0,-2.85603354464603,0,1.0,1.0,False
calibration_scale_105,7,12,0.0,-2.633087795684859,0,1.0,1.0,False
calibration_scale_105,8,12,0.0,-2.291979924109251,0,1.0,1.0,False
calibration_scale_105,9,12,0.0,-2.287160094027726,0,1.0,1.0,False
calibration_scale_105,10,12,0.0,-3.4850147281638826,0,1.0,1.0,False
calibration_scale_105,11,12,0.0,-3.7193708867459963,0,1.0,1.0,False
calibration_scale_105,12,12,0.0,-2.637539814474405,0,1.0,1.0,False
calibration_scale_105,13,12,0.0,-3.318381497257169,0,1.0,1.0,False
calibration_scale_105,14,12,0.0,-3.187528904514986,0,1.0,1.0,False
sensor_noise_001,6,12,0.0,-2.8810638745259576,0,1.0,1.0,False
sensor_noise_001,7,12,0.0,-2.7397396388130484,0,1.0,1.0,False
sensor_noise_001,8,12,0.0,-2.2633544091102547,0,1.0,1.0,False
sensor_noise_001,9,12,0.0,-2.318690923370683,0,1.0,1.0,False
sensor_noise_001,10,12,0.0,-3.4519504316104506,0,1.0,1.0,False
sensor_noise_001,11,12,0.0,-3.723255248057574,0,1.0,1.0,False
sensor_noise_001,12,12,0.0,-2.6331740370538395,0,1.0,1.0,False
sensor_noise_001,13,12,0.0,-3.3080171745419937,0,1.0,1.0,False
sensor_noise_001,14,12,0.0,-3.2478148701206617,0,1.0,1.0,False
outage_6h_30d,6,12,0.0,-3.069775228244538,0,1.0,1.0,False
outage_6h_30d,7,12,0.0,-2.8343608698104865,0,1.0,1.0,False
outage_6h_30d,8,12,0.0,-2.028367518023887,0,1.0,1.0,False
outage_6h_30d,9,12,0.0,-2.303902419195303,0,1.0,1.0,False
outage_6h_30d,10,12,0.0,-3.3319864047554693,0,1.0,1.0,False
outage_6h_30d,11,12,0.0,-4.130990099790472,0,1.0,1.0,False
outage_6h_30d,12,12,0.0,-2.3515015293826513,0,1.0,1.0,False
outage_6h_30d,13,12,0.0,-3.17825417346259,0,1.0,1.0,False
outage_6h_30d,14,12,0.0,-2.80934178020945,0,1.0,1.0,False
outage_24h_90d,6,12,0.0,-2.8432764284249323,0,1.0,1.0,False
outage_24h_90d,7,12,0.0,-2.769996180169345,0,1.0,1.0,False
outage_24h_90d,8,12,0.0,-1.7978477486967548,0,1.0,1.0,False
outage_24h_90d,9,12,0.0,-2.5661286604601354,0,1.0,1.0,False
outage_24h_90d,10,12,0.0,-3.2172957342781867,0,1.0,1.0,False
outage_24h_90d,11,12,0.0,-3.8315682725416758,0,1.0,1.0,False
outage_24h_90d,12,12,0.0,-2.28012111520568,0,1.0,1.0,False
outage_24h_90d,13,12,0.0,-2.7917863082174446,0,1.0,1.0,False
outage_24h_90d,14,12,0.0,-2.716524716549818,0,1.0,1.0,False
day_order_swap_010,6,12,0.0,-2.2811041882079293,0,1.0,1.0,False
day_order_swap_010,7,12,0.0,-2.3320785020479216,0,1.0,1.0,False
day_order_swap_010,8,12,0.0,-1.795033080766026,0,1.0,1.0,False
day_order_swap_010,9,12,0.0,-2.2201161849404736,0,1.0,1.0,False
day_order_swap_010,10,12,0.0,-2.9844552379911984,0,1.0,1.0,False
day_order_swap_010,11,12,0.0,-3.437517192026902,0,1.0,1.0,False
day_order_swap_010,12,12,0.0,-2.772764498957186,0,1.0,1.0,False
day_order_swap_010,13,12,0.0,-3.0644196674538837,0,1.0,1.0,False
day_order_swap_010,14,12,0.0,-3.25331830649343,0,1.0,1.0,False
cyclic_adjacency,6,12,0.0,-2.8233552054683417,0,1.0,1.0,False
cyclic_adjacency,7,12,0.0,-2.717572488700152,0,1.0,1.0,False
cyclic_adjacency,8,12,0.0,-2.1963346423696666,0,1.0,1.0,False
cyclic_adjacency,9,12,0.0,-2.3276606480710846,0,1.0,1.0,False
cyclic_adjacency,10,12,0.0,-3.4325413840295744,0,1.0,1.0,False
cyclic_adjacency,11,12,0.0,-3.7089697138147812,0,1.0,1.0,False
cyclic_adjacency,12,12,0.0,-2.7032582135686676,0,1.0,1.0,False
cyclic_adjacency,13,12,0.0,-3.359071866634015,0,1.0,1.0,False
cyclic_adjacency,14,12,0.0,-3.219809311552265,0,1.0,1.0,False
