N,NSS,SEP,UI,eligible_parent_count,global_mean_test_rmse,holm_p,model_beats_monthly_climatology,model_test_count,model_test_rmse,monthly_climatology_test_rmse,phi,primary_sep_persists_at_T_e,residual_scale,station,test_days,train_days
,,,,,0.9930052617424264,,True,353,0.8847197510436449,1.0022362113982208,0.4490704894409308,False,0.8560298109413269,Aotizhongxin,366,1095
,,,,,0.9583389829411945,,True,362,0.8294405838573728,0.9598740600734497,0.47044365043448355,False,0.954713608356618,Changping,366,1095
,,,,,1.0246779856398103,,True,352,0.9059075945300107,1.0277685553829141,0.483290472994149,False,0.9839438547177555,Dingling,366,1095
,,,,,0.9835481555419399,,True,334,0.8756127557180183,0.9987642982818934,0.43616344218500475,False,0.8842668791800777,Dongsi,366,1095
,,,,,0.9580241105492351,,True,353,0.8448236516892325,0.9663736886839354,0.4358354361800708,False,0.8633708799753387,Guanyuan,366,1095
,,,,,0.9918340007250723,,True,356,0.8763813920470197,0.9930702374027092,0.43676572256973784,False,0.7975255754746815,Gucheng,366,1095
,,,,,0.9856334319302225,,True,356,0.8617802092600576,0.9954743636870045,0.47477835169249616,False,0.8073204290349322,Huairou,366,1095
,,,,,1.0198526018655065,,True,358,0.9065473677373704,1.0287369394144024,0.43648633929798697,False,0.8661732922660491,Nongzhanguan,366,1095
,,,,,1.028520482096001,,True,335,0.9169114435101576,1.0503089976111206,0.45833462743333814,False,0.8736272564275013,Shunyi,366,1095
,,,,,0.9732954559475472,,True,357,0.8665310903008046,0.9775764150109444,0.4265868943009537,False,0.8699628617489602,Tiantan,366,1095
,,,,,1.0008565950391783,,True,362,0.8844754358405148,1.0096390538222046,0.461497947795418,False,0.8270772426701343,Wanliu,366,1095
,,,,,0.9874087767724053,,True,348,0.8820731062001732,0.9996290136932187,0.41961770381637825,False,0.8582387043488379,Wanshouxigong,366,1095
6,-1.1808541862949693,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
7,-1.1132295698658825,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
8,0.07108483722382328,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
9,-0.28002366747326357,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
10,-0.5186285492135299,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
11,-1.1367137470426956,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
12,0.26984196532845306,False,0.0,12,,0.028564453125,,,,,,,,POPULATION_SEP,,
13,-0.09040302186328655,False,0.0,12,,1.0,,,,,,,,POPULATION_SEP,,
14,0.4185852615432935,False,0.0,12,,0.583984375,,,,,,,,POPULATION_SEP,,
