station,condition,N,eligible,observed_score,null_median,null_mad,local_p,robust_z,issue_code
Aotizhongxin,baseline,6,True,0.04239856567027825,0.19195468493447193,0.035877470965823804,0.9921875,-2.811631303749618,
Aotizhongxin,baseline,7,True,0.05121368162670766,0.21077590053761322,0.036682879642457006,1.0,-2.9338820524990514,
Aotizhongxin,baseline,8,True,0.08523223531221409,0.23335540921531142,0.04424888798836488,1.0,-2.2578581429719624,
Aotizhongxin,baseline,9,True,0.09032450577931139,0.23539949095718912,0.04361696421260311,0.984375,-2.2434330013597856,
Aotizhongxin,baseline,10,True,0.028324471031466982,0.2608160120291812,0.045770560423253254,1.0,-3.4260755081286884,
Aotizhongxin,baseline,11,True,0.003981652392786136,0.2738681279216021,0.0453262787073474,1.0,-4.01612351693863,
Aotizhongxin,baseline,12,True,0.06922958596102723,0.285506275296243,0.04241094321337857,1.0,-3.4395987779110846,
Aotizhongxin,baseline,13,True,0.037786416000372726,0.29587639734753424,0.047335367062802725,1.0,-3.6775738382082386,
Aotizhongxin,baseline,14,True,0.09911133690934504,0.291569966941155,0.04584020328310351,1.0,-2.8318279204889243,
Aotizhongxin,calibration_scale_095,6,True,0.0424486739950258,0.19211992939598413,0.03579752388924237,0.9921875,-2.820079931772745,
Aotizhongxin,calibration_scale_095,7,True,0.05122870317128661,0.210974544751671,0.03658418994498416,1.0,-2.945181898869784,
Aotizhongxin,calibration_scale_095,8,True,0.08523199866964999,0.23356168350289785,0.044234531226112095,1.0,-2.2617398444824617,
Aotizhongxin,calibration_scale_095,9,True,0.0903910300020577,0.2354537815469235,0.04370874456210297,0.984375,-2.238533420291713,
Aotizhongxin,calibration_scale_095,10,True,0.028417661060306805,0.26091474157918987,0.04572735507004941,1.0,-3.4293943346394187,
Aotizhongxin,calibration_scale_095,11,True,0.004157205126809736,0.2741100254461366,0.045214795619316295,1.0,-4.027015500259048,
Aotizhongxin,calibration_scale_095,12,True,0.06946077056015448,0.2857907802445663,0.04248521637759467,1.0,-3.4344321382947616,
Aotizhongxin,calibration_scale_095,13,True,0.03790566635315085,0.2959409617968721,0.047403825368390495,1.0,-3.6714847597860114,
Aotizhongxin,calibration_scale_095,14,True,0.09927820119875175,0.29154873196988035,0.046011966663703774,1.0,-2.8184993106823115,
Aotizhongxin,calibration_scale_105,6,True,0.04235335995474628,0.19180444581595857,0.03595058010641172,0.9921875,-2.803942971400142,
Aotizhongxin,calibration_scale_105,7,True,0.051200034169761786,0.21059532527340677,0.03677274294338859,1.0,-2.923650572354705,
Aotizhongxin,calibration_scale_105,8,True,0.08523235618371189,0.2331681182788882,0.044261438287956284,1.0,-2.254361999720088,
Aotizhongxin,calibration_scale_105,9,True,0.09026383067471128,0.2353503984000724,0.04371788671811458,0.984375,-2.2384327468963185,
Aotizhongxin,calibration_scale_105,10,True,0.02823997688011503,0.2606928816902,0.045776080434045796,1.0,-3.425093079644383,
Aotizhongxin,calibration_scale_105,11,True,0.0038216557479113897,0.27364835843560437,0.04542752926360355,1.0,-4.006284747885289,
Aotizhongxin,calibration_scale_105,12,True,0.06901905135036004,0.2852473449547598,0.04234325101828451,1.0,-3.4443266037976628,
Aotizhongxin,calibration_scale_105,13,True,0.03767797618130841,0.2958181864063109,0.047272150042897865,1.0,-3.683208533737266,
