N,median_closure_error,parent_winner_count,comparison_to_14,N14_better_parent_count,paired_parent_count,raw_p,holm_p
4,1.436971654597794,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
5,1.414981165358813,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
6,1.4099160748921695,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
7,1.404211105031492,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
8,1.3823314618100069,1,closure_error_14_less_than_comparator,6,12,0.61279296875,1.0
9,1.3696386841987902,9,closure_error_14_less_than_comparator,2,12,0.996826171875,1.0
10,1.3885613919469295,0,closure_error_14_less_than_comparator,9,12,0.072998046875,0.2919921875
11,1.3933904304370381,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
12,1.3940123023931488,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
13,1.3999975410659404,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
14,1.3832389742294364,1,reference,,,,
15,1.37661388660517,1,closure_error_14_less_than_comparator,3,12,0.980712890625,1.0
16,1.4169259964979128,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
17,1.425024422300245,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
18,1.4160007856402346,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
19,1.402249328432033,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
20,1.413458733105263,0,closure_error_14_less_than_comparator,12,12,0.000244140625,0.00390625
