condition,N,positive_parent_count,negative_parent_count,ties,upper_tail_exact_sign_p,lower_tail_exact_sign_p,two_sided_exact_sign_p,median_signed_effect,median_absolute_effect,directional_consensus,status,upper_tail_holm_p,lower_tail_holm_p,two_sided_holm_p
baseline,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.14909640747104458,0.14909640747104458,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.14840332495248365,0.14840332495248365,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12711502917488135,0.12711502917488135,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14758761043424062,0.14758761043424062,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.22746867555163008,0.22746867555163008,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.24924491020298337,0.24924491020298337,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.18245193369614338,0.18245193369614338,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.23171311612218343,0.23171311612218343,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
baseline,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.2071075667316638,0.2071075667316638,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.1491348460165987,0.1491348460165987,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.1485304411777457,0.1485304411777457,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12730957985204888,0.12730957985204888,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14762079899118064,0.14762079899118064,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.22753488261356428,0.22753488261356428,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.24930634095365395,0.24930634095365395,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.18250698233271323,0.18250698233271323,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.23178497437374018,0.23178497437374018,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_095,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.20711091639490214,0.20711091639490214,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.1490611516074627,0.1490611516074627,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.14828761321563722,0.14828761321563722,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12693762212673032,0.12693762212673032,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.1475575198807504,0.1475575198807504,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.22742333841314888,0.22742333841314888,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.2491885219254761,0.2491885219254761,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.18240223457772536,0.18240223457772536,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.23164734189137323,0.23164734189137323,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
calibration_scale_105,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.2071040146222578,0.2071040146222578,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.15073496149305837,0.15073496149305837,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.14824608778479376,0.14824608778479376,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12709116318626762,0.12709116318626762,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14877180209469243,0.14877180209469243,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.22772297981283607,0.22772297981283607,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.2489146704945835,0.2489146704945835,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.1819315135514672,0.1819315135514672,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.23144772015138015,0.23144772015138015,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
sensor_noise_001,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.2076810326948208,0.2076810326948208,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.15369694675974105,0.15369694675974105,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.15160958432257565,0.15160958432257565,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.13092715592751525,0.13092715592751525,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.1457813137575697,0.1457813137575697,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.21800151654214722,0.21800151654214722,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.254718948097841,0.254718948097841,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.1650701735262166,0.1650701735262166,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.22601711202044222,0.22601711202044222,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_6h_30d,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.20245303499154207,0.20245303499154207,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.1410259923051679,0.1410259923051679,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.14557739578647846,0.14557739578647846,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.12034114065877152,0.12034114065877152,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14937219424895073,0.14937219424895073,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.21390921981876876,0.21390921981876876,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.25050747835570947,0.25050747835570947,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.1645398704722114,0.1645398704722114,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.214001790960562,0.214001790960562,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
outage_24h_90d,14,0,12,0,1.0,0.000244140625,0.00048828125,-0.18590520251173925,0.18590520251173925,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,6,0,12,0,1.0,0.000244140625,0.00048828125,-0.12358499263614775,0.12358499263614775,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,7,0,12,0,1.0,0.000244140625,0.00048828125,-0.11771000694958256,0.11771000694958256,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,8,0,12,0,1.0,0.000244140625,0.00048828125,-0.10436466244796037,0.10436466244796037,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,9,0,12,0,1.0,0.000244140625,0.00048828125,-0.14496468370409993,0.14496468370409993,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,10,0,12,0,1.0,0.000244140625,0.00048828125,-0.20092022740946158,0.20092022740946158,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,11,0,12,0,1.0,0.000244140625,0.00048828125,-0.23760262795044224,0.23760262795044224,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,12,0,12,0,1.0,0.000244140625,0.00048828125,-0.19344576372434102,0.19344576372434102,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
day_order_swap_010,13,0,12,0,1.0,0.000244140625,0.00048828125,-0.21689178152767324,0.21689178152767324,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY,1.0,0.002197265625,0.00439453125
