station,N,phase,registered_v021_phase,observed_score,null_median,signed_effect,lower_tail_local_p,month_boundary_crossings,trailing_days_dropped,status
Aotizhongxin,6,0,True,0.04239856567027825,0.1919546849344719,-0.14955611926419365,0.015625,39,3,REGISTERED
Aotizhongxin,6,1,False,0.0930550512791227,0.18942652215556638,-0.09637147087644368,0.03125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,2,False,0.09438075495486077,0.19876476919131,-0.10438401423644923,0.0703125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,3,False,-0.021966724179291606,0.18988302629567164,-0.21184975047496324,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,4,False,0.01579082400569326,0.19042685792139563,-0.17463603391570237,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,6,5,False,0.045556007792703225,0.19672133998837027,-0.15116533219566705,0.0234375,37,4,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,0,True,0.0909805871333257,0.21567636814881563,-0.12469578101548993,0.0078125,39,3,REGISTERED
Changping,6,1,False,0.1421329987203209,0.2231806798137432,-0.08104768109342231,0.078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,2,False,0.10894487299676978,0.2314691294600698,-0.12252425646330004,0.03125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,3,False,-0.03041606142501847,0.22919254831046118,-0.25960860973547967,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,4,False,0.012264348720418209,0.2194650759703805,-0.2072007272499623,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Changping,6,5,False,0.04618664871181887,0.21823123950849477,-0.1720445907966759,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,0,True,0.09710537868217659,0.2535917905257804,-0.15648641184360382,0.0078125,39,3,REGISTERED
Dingling,6,1,False,0.16051527742575908,0.25863034598402096,-0.09811506855826188,0.03125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,2,False,0.13994717020408734,0.2478341879816917,-0.10788701777760437,0.0234375,40,1,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,3,False,0.007090602758475451,0.2497206158676791,-0.24263001310920365,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,4,False,0.049207152337677924,0.2436125557447536,-0.19440540340707568,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Dingling,6,5,False,0.06773683398879167,0.24394893059708248,-0.1762120966082908,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,0,True,0.11857430450108279,0.2655871909268978,-0.147012886425815,0.0078125,39,3,REGISTERED
Dongsi,6,1,False,0.16360084704978423,0.2675842275313591,-0.10398338048157485,0.0703125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,2,False,0.14426746630499865,0.2752142116354879,-0.13094674533048928,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,3,False,0.06486984937580861,0.2681325299267657,-0.20326268055095706,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,4,False,0.11747898555978052,0.26300968939434965,-0.14553070383456912,0.015625,39,5,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,6,5,False,0.11260805699332015,0.26139879752446094,-0.14879074053114077,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,0,True,0.060597859987225854,0.22126584258801457,-0.1606679826007887,0.0078125,39,3,REGISTERED
Guanyuan,6,1,False,0.12731269118698252,0.22486442770127685,-0.09755173651429433,0.0390625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,2,False,0.1255002156941028,0.22504649010458205,-0.09954627441047925,0.046875,40,1,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,3,False,0.04577739967008148,0.21903081453293402,-0.17325341486285253,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,4,False,0.05365678150038919,0.2163627430437964,-0.16270596154340722,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,5,False,0.048746141174080784,0.21512134385490295,-0.16637520268082218,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,0,True,0.06794184630283902,0.21657854198073448,-0.14863669567789545,0.015625,39,3,REGISTERED
Gucheng,6,1,False,0.12441025200004106,0.21833241665001135,-0.09392216464997029,0.0625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,2,False,0.12388798783489235,0.2172298473079288,-0.09334185947303644,0.046875,40,1,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,3,False,0.04492006032627329,0.21040966197659738,-0.1654896016503241,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,4,False,0.05161594750455371,0.21024259359008915,-0.15862664608553545,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,5,False,0.05074620886730298,0.21016641972531952,-0.15942021085801655,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,0,True,0.10039049929906779,0.23033273335666707,-0.12994223405759928,0.0234375,39,3,REGISTERED
Huairou,6,1,False,0.1561347381113563,0.228899958598737,-0.07276522048738068,0.109375,40,2,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,2,False,0.16975133439543894,0.22407657502250813,-0.0543252406270692,0.1640625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,3,False,-0.02384750229053241,0.2347863947766047,-0.25863389706713713,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,4,False,0.024995622961668535,0.24123744972082192,-0.21624182675915338,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Huairou,6,5,False,0.07112948375835201,0.22163329228952025,-0.15050380853116824,0.015625,37,4,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,0,True,0.05756190939749703,0.22255543899376054,-0.1649935295962635,0.015625,39,3,REGISTERED
Nongzhanguan,6,1,False,0.1380992437050629,0.22498001538426862,-0.08688077167920571,0.0625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,2,False,0.12803917602190676,0.22003752806088703,-0.09199835203898027,0.0546875,40,1,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,3,False,0.07618891717956122,0.22533115521610525,-0.14914223803654403,0.015625,40,0,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,4,False,0.07492677780116512,0.21566198322079566,-0.14073520541963053,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,6,5,False,0.07465496438780246,0.2227428100497094,-0.14808784566190691,0.015625,37,4,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,0,True,0.11449300468406301,0.236956797720001,-0.12246379303593799,0.0234375,39,3,REGISTERED
Shunyi,6,1,False,0.14849563237706934,0.236458179855325,-0.08796254747825566,0.0703125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,2,False,0.15416538983771558,0.24966341264921865,-0.09549802281150307,0.0703125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,3,False,0.011383467650542017,0.24355804264039854,-0.23217457498985652,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,4,False,0.026110164808963346,0.23923453325772015,-0.21312436844875682,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,6,5,False,0.06608725004393888,0.24071877064691707,-0.1746315206029782,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,0,True,-0.033353973731924696,0.1809552691385893,-0.214309242870514,0.0078125,39,3,REGISTERED
Tiantan,6,1,False,0.05697179438161966,0.1695985909062891,-0.11262679652466943,0.015625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,2,False,0.021944065247623455,0.16729442675557704,-0.14535036150795358,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,3,False,-0.06556361316524126,0.1681540734353141,-0.23371768660055536,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,4,False,-0.05695683077867264,0.17536226803412758,-0.23231909881280022,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,5,False,0.01289492961265272,0.1797140155110598,-0.1668190858984071,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,0,True,0.12762233597435446,0.2688859156732408,-0.14126357969888637,0.0078125,39,3,REGISTERED
Wanliu,6,1,False,0.18730502175109637,0.2614073436491552,-0.07410232189805882,0.0546875,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,2,False,0.1365039014828879,0.27224802844260615,-0.13574412695971824,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,3,False,0.04633141028435034,0.27795805757017905,-0.2316266472858287,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,4,False,0.07246553671761427,0.28261340588933326,-0.210147869171719,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,5,False,0.10685723065095887,0.27116083677333525,-0.16430360612237638,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,0,True,0.015932630070596074,0.18150375368382937,-0.16557112361323328,0.0078125,39,3,REGISTERED
Wanshouxigong,6,1,False,0.05166597667375298,0.1893930412149644,-0.13772706454121142,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,2,False,0.05464316609578949,0.17463854642766796,-0.11999538033187848,0.0234375,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,3,False,-0.03695750334751941,0.17924428094959158,-0.21620178429711098,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,4,False,0.00957200869815139,0.182696407871229,-0.17312439917307762,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,5,False,0.06685565443331648,0.187963700210158,-0.12110804577684153,0.015625,37,4,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,0,True,0.05121368162670766,0.21077590053761314,-0.15956221891090547,0.0078125,41,5,REGISTERED
Aotizhongxin,7,1,False,0.053221212382327465,0.21710171250320529,-0.16388050012087782,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,2,False,0.04590058458245013,0.21205849824973713,-0.166157913667287,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
