station,alignment,group_count,adjacent_group_correlation,status
Aotizhongxin,week_aligned,209,0.02261303118165763,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,month_local,48,0.20113772409572683,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,year_local,5,-0.05073055945600444,POST_HOC_DIAGNOSTIC_ONLY
Changping,week_aligned,209,0.049251780696489444,POST_HOC_DIAGNOSTIC_ONLY
Changping,month_local,48,0.15816982825470827,POST_HOC_DIAGNOSTIC_ONLY
Changping,year_local,5,-0.42314564145679595,POST_HOC_DIAGNOSTIC_ONLY
Dingling,week_aligned,209,0.03957157858805565,POST_HOC_DIAGNOSTIC_ONLY
Dingling,month_local,48,0.14171622456308847,POST_HOC_DIAGNOSTIC_ONLY
Dingling,year_local,5,-0.6612949053007462,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,week_aligned,209,0.11330272762279399,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,month_local,48,0.17447291870394277,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,year_local,5,-0.7126096098753915,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,week_aligned,209,0.03331925881272597,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,month_local,48,0.13171458545517664,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,year_local,5,0.06048312031420942,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,week_aligned,209,0.020249520472658947,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,month_local,48,0.17828521590949514,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,year_local,5,0.19334634370819867,POST_HOC_DIAGNOSTIC_ONLY
Huairou,week_aligned,209,0.06618993235475515,POST_HOC_DIAGNOSTIC_ONLY
Huairou,month_local,48,0.14674576594709837,POST_HOC_DIAGNOSTIC_ONLY
Huairou,year_local,5,0.05621218616417049,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,week_aligned,209,0.03244717870796136,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,month_local,48,0.17896397559729715,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,year_local,5,0.40571224290810876,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,week_aligned,209,0.07450300046370247,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,month_local,48,0.20319656465592437,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,year_local,5,0.3882112383598598,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,week_aligned,209,0.035736670253583,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,month_local,48,0.14118829394843047,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,year_local,5,0.2797051232583829,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,week_aligned,209,0.06658798693205943,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,month_local,48,0.30204793098992083,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,year_local,5,0.6225727254784874,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,week_aligned,209,0.0013844509123296387,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,month_local,48,0.24375987198690147,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,year_local,5,0.3760265895286613,POST_HOC_DIAGNOSTIC_ONLY
