station,N,local_p,observed_error,null_median_error,status
Aotizhongxin,9,0.5,1.3806425798184407,1.381165850554059,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,14,0.3984375,1.3787576617940094,1.3823457595259734,POST_HOC_DIAGNOSTIC_ONLY
Changping,9,0.578125,1.3848381967824315,1.3822315823994127,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,0.3046875,1.3744509710762247,1.3811617211003715,POST_HOC_DIAGNOSTIC_ONLY
Dingling,9,0.625,1.3815388573011598,1.3749060607747157,POST_HOC_DIAGNOSTIC_ONLY
Dingling,14,0.671875,1.3913905097232833,1.3825497541839114,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,9,0.1640625,1.3504490409970098,1.3699610131375792,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,14,0.6640625,1.3809316630920652,1.3735729753628074,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,0.3359375,1.3701745991672525,1.3820179294013606,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,14,0.71875,1.390441552305252,1.3808428327076456,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,0.296875,1.3739740214340037,1.3809997190723797,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,14,0.4921875,1.385244635963254,1.3857159410035504,POST_HOC_DIAGNOSTIC_ONLY
Huairou,9,0.453125,1.378991547476954,1.3828240950265673,POST_HOC_DIAGNOSTIC_ONLY
Huairou,14,0.5625,1.390459660297813,1.384762383710319,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,9,0.109375,1.3554834988989068,1.3783334547153332,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,14,0.4921875,1.3824173995528417,1.3837769932451194,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,9,0.2265625,1.358678764922144,1.369726330167063,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,14,0.4375,1.3737408962867927,1.376319160376648,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,9,0.1875,1.3640723405930353,1.381909249479592,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,14,0.453125,1.3850316340453277,1.387808516022905,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,9,0.40625,1.3583944929177574,1.364916860916066,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,14,0.484375,1.364972947179436,1.3655903445545574,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,9,0.203125,1.3691027692303281,1.3831588110961868,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,14,0.53125,1.3840605489060311,1.3830354162463676,POST_HOC_DIAGNOSTIC_ONLY
