station,observed_winner_N,null_winner_N,null_winner_count,null_winner_fraction,status
Aotizhongxin,15,4,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,5,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,6,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,7,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,8,11,0.08661417322834646,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,9,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,10,13,0.10236220472440945,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,11,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,12,6,0.047244094488188976,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,13,10,0.07874015748031496,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,14,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,15,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,16,5,0.03937007874015748,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,17,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,18,3,0.023622047244094488,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,19,2,0.015748031496062992,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,15,20,4,0.031496062992125984,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,4,15,0.11811023622047244,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,5,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,6,12,0.09448818897637795,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,7,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,8,7,0.05511811023622047,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,9,8,0.06299212598425197,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,10,9,0.07086614173228346,POST_HOC_DIAGNOSTIC_ONLY
Changping,14,11,18,0.14173228346456693,POST_HOC_DIAGNOSTIC_ONLY
