station,condition,median_absolute_endpoint_delta,maximum_absolute_endpoint_delta,status
Aotizhongxin,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,calibration_scale_095,9.319002883982283e-05,0.00023118459912725708,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,calibration_scale_105,8.449415135195273e-05,0.00021053461066718182,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,sensor_noise_001,0.0006917316014167681,0.0024398650682097983,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,0.01091934049722747,0.04809550112581286,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,0.010972616280955916,0.04420098218049526,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,0.028619588380155582,0.06605225178372248,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_095,1.2187316044243168e-05,0.0001227134349729847,POST_HOC_DIAGNOSTIC_ONLY
Changping,calibration_scale_105,1.1449985169761923e-05,0.000113978474427609,POST_HOC_DIAGNOSTIC_ONLY
Changping,sensor_noise_001,0.0010323894766991332,0.001705055496031685,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_6h_30d,0.006909452790410747,0.052990330381861336,POST_HOC_DIAGNOSTIC_ONLY
Changping,outage_24h_90d,0.0070324652045915675,0.06413765655043337,POST_HOC_DIAGNOSTIC_ONLY
Changping,day_order_swap_010,0.01574849747336056,0.0765220004468531,POST_HOC_DIAGNOSTIC_ONLY
Changping,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Dingling,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Dingling,calibration_scale_095,4.6521932672252686e-05,0.00014956615182462607,POST_HOC_DIAGNOSTIC_ONLY
Dingling,calibration_scale_105,4.208937676318525e-05,0.00013647974581071365,POST_HOC_DIAGNOSTIC_ONLY
Dingling,sensor_noise_001,0.0018427387979587095,0.0026465003582454294,POST_HOC_DIAGNOSTIC_ONLY
Dingling,outage_6h_30d,0.006298485775011728,0.04255685865238905,POST_HOC_DIAGNOSTIC_ONLY
Dingling,outage_24h_90d,0.010853726380947108,0.04983484153212144,POST_HOC_DIAGNOSTIC_ONLY
Dingling,day_order_swap_010,0.016537863201254346,0.02531714426169384,POST_HOC_DIAGNOSTIC_ONLY
Dingling,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,calibration_scale_095,0.00012259026324995537,0.00025092474080296023,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,calibration_scale_105,0.00011367437344905751,0.00023147347395946483,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,sensor_noise_001,0.003169485280452161,0.003750190486650068,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,outage_6h_30d,0.013340240522539876,0.050505458266788705,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,outage_24h_90d,0.00602054846222172,0.03587881235604132,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,day_order_swap_010,0.046377919619123104,0.06194616178070003,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,calibration_scale_095,6.808090475426964e-05,0.00013087148863066833,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,calibration_scale_105,6.178904336087698e-05,0.00011891315346762577,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,sensor_noise_001,0.0008425919164939399,0.0024027087408880765,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,outage_6h_30d,0.011315729343700315,0.03302186591400051,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,outage_24h_90d,0.01327373858002883,0.04236495714759882,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,day_order_swap_010,0.009594019322426067,0.0467164144595678,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,calibration_scale_095,2.7465399589463035e-05,7.658160415063842e-05,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,calibration_scale_105,2.5152589955394072e-05,6.94885137876855e-05,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,sensor_noise_001,0.0011063283324921416,0.002136681273392081,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,outage_6h_30d,0.01171749554508572,0.030201649040351095,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,outage_24h_90d,0.013037617793339229,0.043700999922999306,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,day_order_swap_010,0.01567936768010235,0.05954961650730592,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Huairou,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Huairou,calibration_scale_095,1.9128736631415788e-05,0.00011450063525775267,POST_HOC_DIAGNOSTIC_ONLY
Huairou,calibration_scale_105,1.7644032161950873e-05,0.00010423942576157086,POST_HOC_DIAGNOSTIC_ONLY
Huairou,sensor_noise_001,0.0019702432568194927,0.002862245184232004,POST_HOC_DIAGNOSTIC_ONLY
Huairou,outage_6h_30d,0.008192625968957562,0.05875819258058124,POST_HOC_DIAGNOSTIC_ONLY
Huairou,outage_24h_90d,0.018981176056861587,0.07309769663629002,POST_HOC_DIAGNOSTIC_ONLY
Huairou,day_order_swap_010,0.03125436653813626,0.09439885284654459,POST_HOC_DIAGNOSTIC_ONLY
Huairou,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,calibration_scale_095,3.7497559728767726e-05,0.00010719040593418216,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,calibration_scale_105,3.44165454454759e-05,9.758911349222466e-05,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,sensor_noise_001,0.0007214297589688626,0.001933389455905779,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,outage_6h_30d,0.012093318730959285,0.0297588986996698,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,outage_24h_90d,0.009688408576400381,0.03607215003405799,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,day_order_swap_010,0.028001752787033235,0.03765169976137789,POST_HOC_DIAGNOSTIC_ONLY
Nongzhanguan,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,calibration_scale_095,5.3028066498234105e-05,0.00014006189734175334,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,calibration_scale_105,4.744241266285698e-05,0.0001269981770677664,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,sensor_noise_001,0.0028562372467469954,0.004712151837512404,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,outage_6h_30d,0.011742076338522547,0.03727462489582777,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,outage_24h_90d,0.003901955517286157,0.04382024865066293,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,day_order_swap_010,0.013825830714656928,0.028009613145492718,POST_HOC_DIAGNOSTIC_ONLY
Shunyi,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,calibration_scale_095,7.803549918471847e-05,0.00017105360834510086,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,calibration_scale_105,7.115106989686107e-05,0.0001560145667032914,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,sensor_noise_001,0.0015322966934206306,0.004284551845581297,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,outage_6h_30d,0.017034523154032966,0.029945731892266493,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,outage_24h_90d,0.011523595726702364,0.016961723410597332,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,day_order_swap_010,0.02765175680318102,0.06636314643120517,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,cyclic_adjacency,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,baseline,0.0,0.0,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,calibration_scale_095,0.00012053052147348309,0.00018284851927388712,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,calibration_scale_105,0.00011018864493869684,0.00016634151824676535,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,sensor_noise_001,0.0023869487247079463,0.0032924845962320204,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,outage_6h_30d,0.010652602334373401,0.021259100201805325,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,outage_24h_90d,0.012605738019859564,0.03262365514292989,POST_HOC_DIAGNOSTIC_ONLY
