fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
iid_gaussian,-0.9,6,1461,fixture-specific,12,0.0,24,0.0,0.5,0.0008242574265904944,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.9,10,1461,fixture-specific,12,0.0,24,0.0,0.3333333333333333,0.01895171660983223,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.9,14,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.2916666666666667,0.029221220597845935,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.6,6,1461,fixture-specific,12,0.0,24,0.125,0.5833333333333334,-0.01713875132040114,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.6,10,1461,fixture-specific,12,0.0,24,0.0,0.5,-0.0043068146826443585,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.6,14,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.4166666666666667,0.014623147251377915,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.3,6,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.3333333333333333,0.028227676209215208,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.3,10,1461,fixture-specific,12,0.0,24,0.08333333333333333,0.5833333333333334,-0.025144867974937587,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,-0.3,14,1461,fixture-specific,12,0.0,24,0.0,0.5833333333333334,-0.009749776120479442,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,0.0,6,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.0,-0.004894770105122976,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,0.0,10,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.0,-0.013426989857052974,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,0.0,14,1461,fixture-specific,12,0.0,24,0.0,0.0,-0.003331701676212308,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,0.3,6,1461,fixture-specific,12,0.0,24,0.0,0.6666666666666666,0.01724480171130347,FROZEN_FORENSIC_CALIBRATION
iid_gaussian,0.3,10,1461,fixture-specific,12,0.0,24,0.0,0.4583333333333333,-0.005861807752232104,FROZEN_FORENSIC_CALIBRATION
