fixture,phi,N,replicates,median_null_minus_observed,sign_error_rate
iid_gaussian,-0.9,6,24,0.0008242574265904944,0.5
iid_gaussian,-0.9,10,24,0.01895171660983223,0.3333333333333333
iid_gaussian,-0.9,14,24,0.029221220597845935,0.2916666666666667
iid_gaussian,-0.6,6,24,-0.01713875132040114,0.5833333333333334
iid_gaussian,-0.6,10,24,-0.0043068146826443585,0.5
iid_gaussian,-0.6,14,24,0.014623147251377915,0.4166666666666667
iid_gaussian,-0.3,6,24,0.028227676209215208,0.3333333333333333
iid_gaussian,-0.3,10,24,-0.025144867974937587,0.5833333333333334
iid_gaussian,-0.3,14,24,-0.009749776120479442,0.5833333333333334
iid_gaussian,0.0,6,24,-0.004894770105122976,0.0
iid_gaussian,0.0,10,24,-0.013426989857052974,0.0
iid_gaussian,0.0,14,24,-0.003331701676212308,0.0
iid_gaussian,0.3,6,24,0.01724480171130347,0.6666666666666666
iid_gaussian,0.3,10,24,-0.005861807752232104,0.4583333333333333
iid_gaussian,0.3,14,24,0.027001653024118923,0.6666666666666666
iid_gaussian,0.6,6,24,0.0006487682524579132,0.5
iid_gaussian,0.6,10,24,-0.012929450352415921,0.4583333333333333
iid_gaussian,0.6,14,24,-0.000489911893588324,0.5
iid_gaussian,0.8,6,24,-0.004050005360468536,0.4583333333333333
iid_gaussian,0.8,10,24,0.005069051498807804,0.5
iid_gaussian,0.8,14,24,-0.03364340849607923,0.375
iid_gaussian,0.92,6,24,0.018462426447483197,0.625
iid_gaussian,0.92,10,24,0.024729858283952716,0.6666666666666666
iid_gaussian,0.92,14,24,0.0138149766299335,0.5
iid_gaussian,0.95,6,24,-0.008129960545436426,0.4166666666666667
iid_gaussian,0.95,10,24,0.0009898817192402704,0.5833333333333334
iid_gaussian,0.95,14,24,-0.013907002376296716,0.4166666666666667
ar1,-0.9,6,24,-0.06462402772466377,0.9166666666666666
ar1,-0.9,10,24,-0.159801144692514,1.0
ar1,-0.9,14,24,-0.23330490860665082,1.0
ar1,-0.6,6,24,-0.027695022888684112,0.7083333333333334
ar1,-0.6,10,24,-0.17426423072591984,0.9583333333333334
ar1,-0.6,14,24,-0.19827638114192508,1.0
ar1,-0.3,6,24,-0.04933907274345084,0.7916666666666666
ar1,-0.3,10,24,-0.08703050706965781,0.9166666666666666
ar1,-0.3,14,24,-0.11974795522083391,0.9583333333333334
ar1,0.0,6,24,-0.009627220134286728,0.0
ar1,0.0,10,24,-0.027620649398008963,0.0
ar1,0.0,14,24,-0.0003050330199270337,0.0
ar1,0.3,6,24,0.07312293101210102,1.0
ar1,0.3,10,24,0.0881370747469533,0.8333333333333334
ar1,0.3,14,24,0.17201267844790286,1.0
ar1,0.6,6,24,0.0931164458903844,0.9583333333333334
ar1,0.6,10,24,0.23242218717208063,1.0
ar1,0.6,14,24,0.26569068974782173,1.0
ar1,0.8,6,24,0.050929830541629806,0.9583333333333334
ar1,0.8,10,24,0.22277196526546092,1.0
ar1,0.8,14,24,0.32091334075819755,1.0
ar1,0.92,6,24,0.00615095168656099,0.625
ar1,0.92,10,24,0.08872544736548627,1.0
ar1,0.92,14,24,0.19701472640960918,1.0
ar1,0.95,6,24,-0.007706937072291031,0.2916666666666667
ar1,0.95,10,24,0.02676277984967973,0.875
ar1,0.95,14,24,0.130933524894205,1.0
ar2_oscillatory,-0.9,6,24,0.07134290993955358,0.08333333333333333
ar2_oscillatory,-0.9,10,24,-0.0620218985543847,0.7916666666666666
ar2_oscillatory,-0.9,14,24,-0.17916525641773326,0.9583333333333334
ar2_oscillatory,-0.6,6,24,0.03501584677609547,0.25
ar2_oscillatory,-0.6,10,24,-0.10413571799867499,0.9166666666666666
ar2_oscillatory,-0.6,14,24,-0.1889669033728297,1.0
ar2_oscillatory,-0.3,6,24,0.03640303207479434,0.16666666666666666
ar2_oscillatory,-0.3,10,24,-0.09158078670035505,0.9583333333333334
ar2_oscillatory,-0.3,14,24,-0.17936531166949832,1.0
ar2_oscillatory,0.0,6,24,0.11652461718357436,0.0
ar2_oscillatory,0.0,10,24,-0.07732742706489507,0.0
ar2_oscillatory,0.0,14,24,-0.12650934982714568,0.0
ar2_oscillatory,0.3,6,24,0.044221098898568505,0.8333333333333334
ar2_oscillatory,0.3,10,24,-0.04506834497210023,0.20833333333333334
ar2_oscillatory,0.3,14,24,-0.07143257038754258,0.125
ar2_oscillatory,0.6,6,24,0.0409127280632292,0.875
ar2_oscillatory,0.6,10,24,0.020863535063708645,0.5416666666666666
ar2_oscillatory,0.6,14,24,-0.03501810826874575,0.3333333333333333
ar2_oscillatory,0.8,6,24,0.08676415007509553,0.9583333333333334
ar2_oscillatory,0.8,10,24,0.08844664690015044,0.9166666666666666
ar2_oscillatory,0.8,14,24,0.026304229589258595,0.7083333333333334
ar2_oscillatory,0.92,6,24,0.13525439112587107,1.0
ar2_oscillatory,0.92,10,24,0.11355655291369357,0.875
ar2_oscillatory,0.92,14,24,0.1236973548383131,0.8333333333333334
ar2_oscillatory,0.95,6,24,0.12994634094186913,1.0
ar2_oscillatory,0.95,10,24,0.12545692066464698,0.9166666666666666
ar2_oscillatory,0.95,14,24,0.07800417958550675,0.75
mean_reverting,-0.9,6,24,0.04487672899657136,0.16666666666666666
mean_reverting,-0.9,10,24,-0.02075850007644381,0.625
mean_reverting,-0.9,14,24,-0.011873548172638831,0.5416666666666666
mean_reverting,-0.6,6,24,0.2968798163019517,0.0
mean_reverting,-0.6,10,24,0.17132328997010723,0.0
mean_reverting,-0.6,14,24,0.08835584815251349,0.041666666666666664
mean_reverting,-0.3,6,24,0.30015052730124603,0.0
mean_reverting,-0.3,10,24,0.14895047059595418,0.0
mean_reverting,-0.3,14,24,0.10855595235058513,0.041666666666666664
mean_reverting,0.0,6,24,0.30042131600883343,0.0
mean_reverting,0.0,10,24,0.18260495984104538,0.0
mean_reverting,0.0,14,24,0.09881500999803253,0.0
mean_reverting,0.3,6,24,0.29676577186238884,1.0
mean_reverting,0.3,10,24,0.18182558766507395,1.0
mean_reverting,0.3,14,24,0.118032473443766,0.875
mean_reverting,0.6,6,24,0.29781433938341406,1.0
mean_reverting,0.6,10,24,0.18204791678339322,1.0
mean_reverting,0.6,14,24,0.12432713663081954,0.875
mean_reverting,0.8,6,24,0.2000069311583516,1.0
mean_reverting,0.8,10,24,0.19096236574242886,1.0
mean_reverting,0.8,14,24,0.09322658570421749,0.9166666666666666
mean_reverting,0.92,6,24,0.06825927825041439,0.9583333333333334
mean_reverting,0.92,10,24,0.06711096896072183,0.875
mean_reverting,0.92,14,24,0.0647176843859258,0.7916666666666666
mean_reverting,0.95,6,24,0.03604877092938371,0.6666666666666666
mean_reverting,0.95,10,24,0.05915958780379933,0.7083333333333334
mean_reverting,0.95,14,24,0.08130530615170617,0.7083333333333334
bursty_episodes,-0.9,6,24,-0.31078235758647327,1.0
bursty_episodes,-0.9,10,24,-0.01758863015531731,0.625
bursty_episodes,-0.9,14,24,0.12346391022745758,0.0
bursty_episodes,-0.6,6,24,-0.11536360975631194,1.0
bursty_episodes,-0.6,10,24,0.14571674344936053,0.041666666666666664
bursty_episodes,-0.6,14,24,0.2779014176565765,0.0
bursty_episodes,-0.3,6,24,-0.05733188405491674,0.9583333333333334
bursty_episodes,-0.3,10,24,0.18587095198515957,0.0
bursty_episodes,-0.3,14,24,0.2954235708165012,0.0
bursty_episodes,0.0,6,24,-0.06139968065015433,0.0
bursty_episodes,0.0,10,24,0.19777503335962507,0.0
bursty_episodes,0.0,14,24,0.31401286526417327,0.0
bursty_episodes,0.3,6,24,-0.003501188533758859,0.4583333333333333
bursty_episodes,0.3,10,24,0.20826431414273733,1.0
bursty_episodes,0.3,14,24,0.32292947392347615,1.0
bursty_episodes,0.6,6,24,0.017290676015066342,0.6666666666666666
bursty_episodes,0.6,10,24,0.2285532869221757,1.0
bursty_episodes,0.6,14,24,0.37501798284296267,1.0
bursty_episodes,0.8,6,24,0.0630707114241868,0.9166666666666666
bursty_episodes,0.8,10,24,0.2285114171813006,1.0
bursty_episodes,0.8,14,24,0.36115052743995,1.0
bursty_episodes,0.92,6,24,0.011365268639267123,0.75
bursty_episodes,0.92,10,24,0.1379735869978434,1.0
bursty_episodes,0.92,14,24,0.24055708511894144,1.0
bursty_episodes,0.95,6,24,-0.009986252151500064,0.2916666666666667
bursty_episodes,0.95,10,24,0.09271296814813634,1.0
bursty_episodes,0.95,14,24,0.15937280207737703,1.0
seasonal_local_shift,-0.9,6,24,-0.4228920482795798,1.0
seasonal_local_shift,-0.9,10,24,-0.27323933892598357,1.0
seasonal_local_shift,-0.9,14,24,-0.22338772997211187,1.0
seasonal_local_shift,-0.6,6,24,-0.1317232732878949,1.0
seasonal_local_shift,-0.6,10,24,-0.10519131875842064,1.0
seasonal_local_shift,-0.6,14,24,-0.06898093953106044,1.0
seasonal_local_shift,-0.3,6,24,-0.07079471220039785,1.0
seasonal_local_shift,-0.3,10,24,-0.058987976412315846,1.0
seasonal_local_shift,-0.3,14,24,-0.038219269367283426,1.0
seasonal_local_shift,0.0,6,24,-0.02125221125102561,0.0
seasonal_local_shift,0.0,10,24,-0.029368909741301297,0.0
seasonal_local_shift,0.0,14,24,-0.011007524650748557,0.0
seasonal_local_shift,0.3,6,24,0.040742620154365305,1.0
seasonal_local_shift,0.3,10,24,0.018499763819371517,0.9166666666666666
seasonal_local_shift,0.3,14,24,0.01832855264142097,1.0
seasonal_local_shift,0.6,6,24,0.11649575095000847,1.0
seasonal_local_shift,0.6,10,24,0.1210539539557306,1.0
seasonal_local_shift,0.6,14,24,0.09526130918896647,1.0
seasonal_local_shift,0.8,6,24,0.10942513914975643,1.0
seasonal_local_shift,0.8,10,24,0.18340997283243426,1.0
seasonal_local_shift,0.8,14,24,0.21532259983376167,1.0
seasonal_local_shift,0.92,6,24,0.011340989097339604,0.75
seasonal_local_shift,0.92,10,24,0.08665702275098519,1.0
seasonal_local_shift,0.92,14,24,0.15882257608032857,1.0
seasonal_local_shift,0.95,6,24,-0.012121560883946114,0.25
seasonal_local_shift,0.95,10,24,0.046000674649931295,1.0
seasonal_local_shift,0.95,14,24,0.1335330347425136,1.0
common_factor_station_noise,-0.9,6,24,-0.627351893658463,1.0
common_factor_station_noise,-0.9,10,24,-0.34744084185451485,1.0
common_factor_station_noise,-0.9,14,24,0.06323430571154065,0.0
common_factor_station_noise,-0.6,6,24,-0.49140850166234246,1.0
common_factor_station_noise,-0.6,10,24,-0.17199703997990495,1.0
common_factor_station_noise,-0.6,14,24,0.2305717832400357,0.0
common_factor_station_noise,-0.3,6,24,-0.3892999238574668,1.0
common_factor_station_noise,-0.3,10,24,-0.08542526804894082,1.0
common_factor_station_noise,-0.3,14,24,0.3217749003900797,0.0
common_factor_station_noise,0.0,6,24,-0.31175364972635916,0.0
common_factor_station_noise,0.0,10,24,0.010496622765059985,0.0
common_factor_station_noise,0.0,14,24,0.36905034724674923,0.0
common_factor_station_noise,0.3,6,24,-0.16873470663618162,0.0
common_factor_station_noise,0.3,10,24,0.0840573735596869,1.0
common_factor_station_noise,0.3,14,24,0.37439627243198215,1.0
