station,condition,N,observed_score,null_median,observed_minus_null_median,signed_robust_z,absolute_robust_z,upper_tail_local_p,lower_tail_local_p,two_sided_local_p,rank_among_128_ascending,null_quantile,effect_direction,status
Aotizhongxin,baseline,6,0.042398565670278214,0.1919546849344719,-0.14955611926419368,-2.8116313037496203,2.8116313037496203,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,7,0.05121368162670764,0.21077590053761314,-0.1595622189109055,-2.933882052499044,2.933882052499044,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,8,0.08523223531221406,0.2333554092153114,-0.14812317390309732,-2.257858142971961,2.257858142971961,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,9,0.09032450577931138,0.23539949095718923,-0.14507498517787787,-2.243433001359782,2.243433001359782,0.984375,0.0234375,0.046875,3,0.01953125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,10,0.028324471031466975,0.2608160120291812,-0.2324915409977142,-3.426075508128701,3.426075508128701,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,11,0.0039816523927861365,0.27386812792160203,-0.2698864755288159,-4.01612351693864,4.01612351693864,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,12,0.06922958596102725,0.28550627529624295,-0.2162766893352157,-3.4395987779110744,3.4395987779110744,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,13,0.03778641600037275,0.2958763973475344,-0.25808998134716166,-3.6775738382082626,3.6775738382082626,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,baseline,14,0.09911133690934501,0.29156996694115506,-0.19245863003181005,-2.8318279204889287,2.8318279204889287,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,calibration_scale_095,6,0.04244867399502582,0.19211992939598413,-0.14967125540095833,-2.8200799317727383,2.8200799317727383,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
