left_station,right_station,metric,correlation
Aotizhongxin,Aotizhongxin,baseline_effect_across_N,1.0
Aotizhongxin,Changping,baseline_effect_across_N,0.8417897524890176
Aotizhongxin,Dingling,baseline_effect_across_N,0.6740214723538386
Aotizhongxin,Dongsi,baseline_effect_across_N,0.8737550340812585
Aotizhongxin,Guanyuan,baseline_effect_across_N,0.8350595141685624
Aotizhongxin,Gucheng,baseline_effect_across_N,0.8891431793013056
Aotizhongxin,Huairou,baseline_effect_across_N,0.8309249979348063
Aotizhongxin,Nongzhanguan,baseline_effect_across_N,0.8056168476708068
Aotizhongxin,Shunyi,baseline_effect_across_N,0.768876063237001
Aotizhongxin,Tiantan,baseline_effect_across_N,0.12658797091412954
Aotizhongxin,Wanliu,baseline_effect_across_N,0.9000967059289255
Aotizhongxin,Wanshouxigong,baseline_effect_across_N,0.4983057602973291
Changping,Aotizhongxin,baseline_effect_across_N,0.8417897524890176
Changping,Changping,baseline_effect_across_N,1.0
Changping,Dingling,baseline_effect_across_N,0.8738273580971874
Changping,Dongsi,baseline_effect_across_N,0.6185572232594607
Changping,Guanyuan,baseline_effect_across_N,0.8122691035564801
Changping,Gucheng,baseline_effect_across_N,0.8474154121226362
Changping,Huairou,baseline_effect_across_N,0.944755665688494
Changping,Nongzhanguan,baseline_effect_across_N,0.6150924412420995
Changping,Shunyi,baseline_effect_across_N,0.8474710625447941
Changping,Tiantan,baseline_effect_across_N,-0.3140091869395921
Changping,Wanliu,baseline_effect_across_N,0.8097632791899677
Changping,Wanshouxigong,baseline_effect_across_N,0.03219835924798286
Dingling,Aotizhongxin,baseline_effect_across_N,0.6740214723538386
Dingling,Changping,baseline_effect_across_N,0.8738273580971873
Dingling,Dingling,baseline_effect_across_N,1.0
Dingling,Dongsi,baseline_effect_across_N,0.45262291537683236
Dingling,Guanyuan,baseline_effect_across_N,0.8317200477760557
Dingling,Gucheng,baseline_effect_across_N,0.8463027210342977
Dingling,Huairou,baseline_effect_across_N,0.8782807081174185
Dingling,Nongzhanguan,baseline_effect_across_N,0.612769702539886
Dingling,Shunyi,baseline_effect_across_N,0.7243456608718969
Dingling,Tiantan,baseline_effect_across_N,-0.42901206719491386
Dingling,Wanliu,baseline_effect_across_N,0.7172924728339847
Dingling,Wanshouxigong,baseline_effect_across_N,-0.0597939712206803
Dongsi,Aotizhongxin,baseline_effect_across_N,0.8737550340812585
Dongsi,Changping,baseline_effect_across_N,0.6185572232594607
Dongsi,Dingling,baseline_effect_across_N,0.45262291537683236
Dongsi,Dongsi,baseline_effect_across_N,0.9999999999999998
Dongsi,Guanyuan,baseline_effect_across_N,0.8204148088317554
Dongsi,Gucheng,baseline_effect_across_N,0.7914290228795444
Dongsi,Huairou,baseline_effect_across_N,0.5504578336457828
Dongsi,Nongzhanguan,baseline_effect_across_N,0.9315620085187789
Dongsi,Shunyi,baseline_effect_across_N,0.5228730143583067
Dongsi,Tiantan,baseline_effect_across_N,0.40546869343068015
Dongsi,Wanliu,baseline_effect_across_N,0.8872772059458556
Dongsi,Wanshouxigong,baseline_effect_across_N,0.6816339751859296
Guanyuan,Aotizhongxin,baseline_effect_across_N,0.8350595141685624
Guanyuan,Changping,baseline_effect_across_N,0.8122691035564801
Guanyuan,Dingling,baseline_effect_across_N,0.8317200477760558
Guanyuan,Dongsi,baseline_effect_across_N,0.8204148088317554
Guanyuan,Guanyuan,baseline_effect_across_N,1.0
Guanyuan,Gucheng,baseline_effect_across_N,0.9340503272853832
Guanyuan,Huairou,baseline_effect_across_N,0.7947224782567106
Guanyuan,Nongzhanguan,baseline_effect_across_N,0.9004984386238144
Guanyuan,Shunyi,baseline_effect_across_N,0.7087599215516951
Guanyuan,Tiantan,baseline_effect_across_N,0.0390116615662504
Guanyuan,Wanliu,baseline_effect_across_N,0.8800643973972349
Guanyuan,Wanshouxigong,baseline_effect_across_N,0.32737983866949405
Gucheng,Aotizhongxin,baseline_effect_across_N,0.8891431793013056
Gucheng,Changping,baseline_effect_across_N,0.8474154121226362
Gucheng,Dingling,baseline_effect_across_N,0.8463027210342977
Gucheng,Dongsi,baseline_effect_across_N,0.7914290228795443
Gucheng,Guanyuan,baseline_effect_across_N,0.9340503272853832
Gucheng,Gucheng,baseline_effect_across_N,1.0
Gucheng,Huairou,baseline_effect_across_N,0.8702004762091101
Gucheng,Nongzhanguan,baseline_effect_across_N,0.8604873513862866
Gucheng,Shunyi,baseline_effect_across_N,0.8394312842032985
Gucheng,Tiantan,baseline_effect_across_N,-0.12116918671095563
Gucheng,Wanliu,baseline_effect_across_N,0.9351583921401428
Gucheng,Wanshouxigong,baseline_effect_across_N,0.2452682132125137
Huairou,Aotizhongxin,baseline_effect_across_N,0.8309249979348063
Huairou,Changping,baseline_effect_across_N,0.944755665688494
Huairou,Dingling,baseline_effect_across_N,0.8782807081174184
Huairou,Dongsi,baseline_effect_across_N,0.5504578336457828
Huairou,Guanyuan,baseline_effect_across_N,0.7947224782567105
Huairou,Gucheng,baseline_effect_across_N,0.87020047620911
Huairou,Huairou,baseline_effect_across_N,0.9999999999999999
Huairou,Nongzhanguan,baseline_effect_across_N,0.5599434593127871
Huairou,Shunyi,baseline_effect_across_N,0.9196286064341787
Huairou,Tiantan,baseline_effect_across_N,-0.36917346644765414
Huairou,Wanliu,baseline_effect_across_N,0.7784049719638874
Huairou,Wanshouxigong,baseline_effect_across_N,-0.027776421630774383
Nongzhanguan,Aotizhongxin,baseline_effect_across_N,0.8056168476708068
Nongzhanguan,Changping,baseline_effect_across_N,0.6150924412420995
Nongzhanguan,Dingling,baseline_effect_across_N,0.6127697025398859
Nongzhanguan,Dongsi,baseline_effect_across_N,0.9315620085187788
Nongzhanguan,Guanyuan,baseline_effect_across_N,0.9004984386238144
Nongzhanguan,Gucheng,baseline_effect_across_N,0.8604873513862866
Nongzhanguan,Huairou,baseline_effect_across_N,0.5599434593127871
Nongzhanguan,Nongzhanguan,baseline_effect_across_N,1.0
Nongzhanguan,Shunyi,baseline_effect_across_N,0.5174168991561158
Nongzhanguan,Tiantan,baseline_effect_across_N,0.3076127613552972
Nongzhanguan,Wanliu,baseline_effect_across_N,0.9105331199361827
Nongzhanguan,Wanshouxigong,baseline_effect_across_N,0.5874265946898115
Shunyi,Aotizhongxin,baseline_effect_across_N,0.7688760632370009
Shunyi,Changping,baseline_effect_across_N,0.8474710625447942
Shunyi,Dingling,baseline_effect_across_N,0.7243456608718969
Shunyi,Dongsi,baseline_effect_across_N,0.5228730143583067
Shunyi,Guanyuan,baseline_effect_across_N,0.7087599215516951
Shunyi,Gucheng,baseline_effect_across_N,0.8394312842032985
Shunyi,Huairou,baseline_effect_across_N,0.9196286064341785
Shunyi,Nongzhanguan,baseline_effect_across_N,0.5174168991561158
Shunyi,Shunyi,baseline_effect_across_N,1.0
Shunyi,Tiantan,baseline_effect_across_N,-0.3295388927529041
Shunyi,Wanliu,baseline_effect_across_N,0.7580109874989192
