control,N,ladder_length,eligible_under_v021_minimum_30_blocks,v021_block_persistence_score,known_distinction_recovered,issue_code
historical_ordered,6,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,7,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,8,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,9,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,10,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,11,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,12,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,13,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
historical_ordered,14,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,6,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,7,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,8,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,9,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,10,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,11,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,12,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,13,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_reversed,14,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,6,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,7,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,8,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,9,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,10,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,11,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,12,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,13,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
order_permuted,14,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,6,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,7,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,8,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,9,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,10,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,11,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,12,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,13,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
value_noised,14,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,6,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,7,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,8,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,9,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,10,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,11,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,12,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,13,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
healed_linear,14,14,False,,False,TLD_I_LADDER_TOO_SHORT_FOR_V021_OPERATOR
