left_station,right_station,metric,correlation
Aotizhongxin,Aotizhongxin,canonical,1.0
Aotizhongxin,Changping,canonical,0.9262088248152807
Aotizhongxin,Dingling,canonical,0.9304428887808713
Aotizhongxin,Dongsi,canonical,0.9724884025187912
Aotizhongxin,Guanyuan,canonical,0.9820068166883908
Aotizhongxin,Gucheng,canonical,0.9667655220213526
Aotizhongxin,Huairou,canonical,0.9158439074188056
Aotizhongxin,Nongzhanguan,canonical,0.9768210382244337
Aotizhongxin,Shunyi,canonical,0.9465686952360822
Aotizhongxin,Tiantan,canonical,0.977254821468112
Aotizhongxin,Wanliu,canonical,0.9717984034847146
Aotizhongxin,Wanshouxigong,canonical,0.9641145771880695
Changping,Aotizhongxin,canonical,0.9262088248152807
Changping,Changping,canonical,1.0
Changping,Dingling,canonical,0.9539037423617517
Changping,Dongsi,canonical,0.9061365357353248
Changping,Guanyuan,canonical,0.9249598835495823
Changping,Gucheng,canonical,0.9237260460897734
Changping,Huairou,canonical,0.8962295678939377
Changping,Nongzhanguan,canonical,0.9141112462934909
Changping,Shunyi,canonical,0.8939200330823877
Changping,Tiantan,canonical,0.9133260511871849
Changping,Wanliu,canonical,0.9219573274620456
Changping,Wanshouxigong,canonical,0.8970218062824238
Dingling,Aotizhongxin,canonical,0.9304428887808712
Dingling,Changping,canonical,0.9539037423617516
Dingling,Dingling,canonical,1.0
Dingling,Dongsi,canonical,0.9124113744775101
Dingling,Guanyuan,canonical,0.9270625821486586
Dingling,Gucheng,canonical,0.9221109897155572
Dingling,Huairou,canonical,0.9080514983752517
Dingling,Nongzhanguan,canonical,0.9137313852514929
Dingling,Shunyi,canonical,0.9040889930715154
Dingling,Tiantan,canonical,0.914565014833559
Dingling,Wanliu,canonical,0.9208285405210356
Dingling,Wanshouxigong,canonical,0.9001170190277875
Dongsi,Aotizhongxin,canonical,0.9724884025187912
Dongsi,Changping,canonical,0.9061365357353249
Dongsi,Dingling,canonical,0.9124113744775101
Dongsi,Dongsi,canonical,1.0
Dongsi,Guanyuan,canonical,0.975043304174251
Dongsi,Gucheng,canonical,0.9511250076807377
Dongsi,Huairou,canonical,0.8998081467262267
Dongsi,Nongzhanguan,canonical,0.9700185151727377
Dongsi,Shunyi,canonical,0.9334397891514686
Dongsi,Tiantan,canonical,0.9733335636971581
Dongsi,Wanliu,canonical,0.9601707300265886
Dongsi,Wanshouxigong,canonical,0.96602481217125
Guanyuan,Aotizhongxin,canonical,0.9820068166883908
Guanyuan,Changping,canonical,0.9249598835495823
