perturbation_left,perturbation_right,response_correlation
measurement_noise,measurement_noise,1.0
measurement_noise,coordinate_or_edge_shuffle,0.2828657106219804
measurement_noise,orientation_rotation,0.26942019160070124
measurement_noise,mask_dropout,0.24450464763061844
measurement_noise,resolution_reduction,-0.10817185891150491
coordinate_or_edge_shuffle,measurement_noise,0.2828657106219804
coordinate_or_edge_shuffle,coordinate_or_edge_shuffle,1.0
coordinate_or_edge_shuffle,orientation_rotation,-0.2526152775555312
coordinate_or_edge_shuffle,mask_dropout,0.1438018177669328
coordinate_or_edge_shuffle,resolution_reduction,-0.39312312542840827
orientation_rotation,measurement_noise,0.26942019160070124
orientation_rotation,coordinate_or_edge_shuffle,-0.2526152775555312
orientation_rotation,orientation_rotation,1.0
orientation_rotation,mask_dropout,-0.12300786175828665
orientation_rotation,resolution_reduction,0.43232689240087324
mask_dropout,measurement_noise,0.2445046476306184
mask_dropout,coordinate_or_edge_shuffle,0.1438018177669328
mask_dropout,orientation_rotation,-0.12300786175828665
mask_dropout,mask_dropout,1.0
mask_dropout,resolution_reduction,-0.17933225583218743
resolution_reduction,measurement_noise,-0.10817185891150492
resolution_reduction,coordinate_or_edge_shuffle,-0.3931231254284083
resolution_reduction,orientation_rotation,0.43232689240087324
resolution_reduction,mask_dropout,-0.17933225583218743
resolution_reduction,resolution_reduction,1.0
