fixture_id,field_kind,ground_truth_present,expected_direction,projection_id,observed_minus_null,upper_tail_p,lower_tail_p,two_sided_p,familywise_p,robust_standardized_effect,effect_direction,parent_count,nested_parent_uncertainty,scout_status,representation_status,fragility_supported,baseline_excluded,method_a_positive,method_b_positive
SYN-01,SCALAR_FIELD_2D,False,NONE,neighbor_coherence,-0.032399561015779677,1.0,0.0078125,0.015625,0.03125,-17.997969689881202,LOWER,12,0.0005196668178800998,ELIGIBLE,FAIL,True,True,False,False
SYN-01,SCALAR_FIELD_2D,False,NONE,spectral_concentration,0.001226550094088355,0.3984375,0.609375,0.796875,1.0,0.5469267926515513,UPPER,12,0.0006473892269597008,ELIGIBLE,FAIL,True,True,False,False
SYN-02,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.8434885089257771,0.0078125,1.0,0.015625,0.03125,178.75566763930445,UPPER,12,0.0013621618942715285,ELIGIBLE,PASS,True,True,True,True
SYN-02,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.5906747447643692,0.0078125,1.0,0.015625,0.03125,272.53400905251186,UPPER,12,0.000625658104246933,ELIGIBLE,PASS,True,True,True,True
SYN-03,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.4520832565912861,0.0078125,1.0,0.015625,0.03125,96.75404603269098,UPPER,12,0.0013488344962902755,ELIGIBLE,PASS,True,True,True,True
SYN-03,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.43656967764469784,0.0078125,1.0,0.015625,0.03125,198.8560462793184,UPPER,12,0.0006337590071416621,ELIGIBLE,PASS,True,True,True,True
SYN-04,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.5349140763435123,0.0078125,1.0,0.015625,0.03125,220.23094257734547,UPPER,12,0.000701156663900179,ELIGIBLE,PASS,True,True,True,True
SYN-04,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7843329387586828,0.0078125,1.0,0.015625,0.03125,534.6854466699195,UPPER,12,0.00042345909744404074,ELIGIBLE,PASS,True,True,True,True
SYN-05,VECTOR_FIELD_2D,True,UPPER,neighbor_coherence,0.9926046315306205,0.0078125,1.0,0.015625,0.03125,327.9624645087032,UPPER,12,0.0008736983850751998,ELIGIBLE,PASS,True,True,True,True
SYN-05,VECTOR_FIELD_2D,True,UPPER,spectral_concentration,0.7840967591094519,0.0078125,1.0,0.015625,0.03125,873.5319297091654,UPPER,12,0.00025911959228169085,ELIGIBLE,PASS,True,True,True,True
SYN-06,VECTOR_FIELD_2D,True,UPPER,neighbor_coherence,0.9853668781558009,0.0078125,1.0,0.015625,0.03125,576.4934345023813,UPPER,12,0.0004934157080599353,ELIGIBLE,PASS,True,True,True,True
SYN-06,VECTOR_FIELD_2D,True,UPPER,spectral_concentration,0.7847941362039377,0.0078125,1.0,0.015625,0.03125,680.1481811027745,UPPER,12,0.00033308999302265055,ELIGIBLE,PASS,True,True,True,True
SYN-07,VECTOR_FIELD_2D,True,UPPER,neighbor_coherence,0.2832017615625464,0.0078125,1.0,0.015625,0.03125,216.44696278864703,UPPER,12,0.00037770595430523763,ELIGIBLE,PASS,True,True,True,True
SYN-07,VECTOR_FIELD_2D,True,UPPER,spectral_concentration,0.7128251953676641,0.0078125,1.0,0.015625,0.03125,268.3654458189094,UPPER,12,0.0007667712532342532,ELIGIBLE,PASS,True,True,True,True
SYN-08,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.9411930689635299,0.0078125,1.0,0.015625,0.03125,405.6022938995265,UPPER,12,0.0006698656293350643,ELIGIBLE,PASS,True,True,True,True
SYN-08,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7496677735913808,0.0078125,1.0,0.015625,0.03125,367.3232253784536,UPPER,12,0.0005891553555316782,ELIGIBLE,PASS,True,True,True,True
SYN-09,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.5271939204695189,0.0078125,1.0,0.015625,0.03125,191.3874932373947,UPPER,12,0.0007951814059256923,ELIGIBLE,PASS,True,True,True,True
SYN-09,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7703416634270379,0.0078125,1.0,0.015625,0.03125,550.8176189774576,UPPER,12,0.0004037243467023032,ELIGIBLE,PASS,True,True,True,True
SYN-10,MULTIMODAL_COUPLED_FIELD,True,UPPER,neighbor_coherence,0.5121583728452666,0.0078125,1.0,0.015625,0.03125,217.08752351725357,UPPER,12,0.0006810496744333496,ELIGIBLE,PASS,True,True,True,True
SYN-10,MULTIMODAL_COUPLED_FIELD,True,UPPER,spectral_concentration,0.7592127375547324,0.0078125,1.0,0.015625,0.03125,388.0227746502205,UPPER,12,0.0005648272563312134,ELIGIBLE,PASS,True,True,True,True
SYN-11,SPATIOTEMPORAL_SCALAR_FIELD,True,UPPER,neighbor_coherence,0.898844716790371,0.0078125,1.0,0.015625,0.03125,566.4370958706264,UPPER,12,0.0004580810852447426,ELIGIBLE,PASS,True,True,True,True
SYN-11,SPATIOTEMPORAL_SCALAR_FIELD,True,UPPER,spectral_concentration,0.6754771828155531,0.0078125,1.0,0.015625,0.03125,113.93802056423644,UPPER,12,0.0017113994582262436,ELIGIBLE,PASS,True,True,True,True
SYN-12,SPATIOTEMPORAL_SCALAR_FIELD,True,UPPER,neighbor_coherence,0.8078356997342957,0.0078125,1.0,0.015625,0.03125,354.6565880504019,UPPER,12,0.0006575433453336871,ELIGIBLE,PASS,True,True,True,True
SYN-12,SPATIOTEMPORAL_SCALAR_FIELD,True,UPPER,spectral_concentration,0.7022290545775631,0.0078125,1.0,0.015625,0.03125,403.9700149270518,UPPER,12,0.0005018096872441693,ELIGIBLE,PASS,True,True,True,True
SYN-13,CORRELATION_GEOMETRY,True,UPPER,neighbor_coherence,0.8422225890741134,0.0078125,1.0,0.015625,0.03125,266.87053566349334,UPPER,12,0.0009110362020868846,ELIGIBLE,PASS,True,True,True,True
SYN-13,CORRELATION_GEOMETRY,True,UPPER,spectral_concentration,0.7709900418879492,0.0078125,1.0,0.015625,0.03125,447.20017721810086,UPPER,12,0.0004976868647454007,ELIGIBLE,PASS,True,True,True,True
SYN-14,SCALAR_FIELD_2D,True,UPPER,neighbor_coherence,0.5200831963875544,0.0078125,1.0,0.015625,0.03125,167.24684688807795,UPPER,12,0.00089768560371215,ELIGIBLE,PASS,True,True,True,True
SYN-14,SCALAR_FIELD_2D,True,UPPER,spectral_concentration,0.7556666779285719,0.0078125,1.0,0.015625,0.03125,531.2362942307393,UPPER,12,0.0004106311679546068,ELIGIBLE,PASS,True,True,True,True
