family_id,family_class,median_observed_minus_matched_null,joint_null_two_sided_p,children_flattened,joint_null_replicates
N01,TRUE_NEGATIVE,0.010325016969670149,0.142,False,999
N02,TRUE_NEGATIVE,0.012915393130816022,0.884,False,999
N03,TRUE_NEGATIVE,-0.001782705299154779,0.584,False,999
N04,TRUE_NEGATIVE,-0.08373543367985109,0.444,False,999
N05,TRUE_NEGATIVE,0.031731599925075016,0.132,False,999
N06,TRUE_NEGATIVE,0.0,1.0,False,999
N07,TRUE_NEGATIVE,0.05200903449348923,0.078,False,999
N08,TRUE_NEGATIVE,0.0004682192783818581,0.836,False,999
N09,TRUE_NEGATIVE,0.0,1.0,False,999
N10,TRUE_NEGATIVE,-0.006124432475345583,0.314,False,999
N11,TRUE_NEGATIVE,0.008068788354608948,0.338,False,999
N12,ADVERSARIAL_NEAR_NULL,0.7402017164858228,0.002,False,999
N13,TRUE_NEGATIVE,-0.45139156865321917,0.002,False,999
P01,POSITIVE_CHANNEL_CONTROL,0.9294853633881932,0.002,False,999
P02,POSITIVE_CHANNEL_CONTROL,0.8001444081674195,0.002,False,999
P03,POSITIVE_CHANNEL_CONTROL,0.9637358618062769,0.002,False,999
P04,POSITIVE_CHANNEL_CONTROL,0.870159004700763,0.002,False,999
P05,POSITIVE_CHANNEL_CONTROL,0.9312342698206929,0.002,False,999
P06,POSITIVE_CHANNEL_CONTROL,0.9436293366253962,0.002,False,999
P07,POSITIVE_CHANNEL_CONTROL,0.7012490319171694,0.002,False,999
P08,POSITIVE_CHANNEL_CONTROL,0.9924628549296326,0.002,False,999
P09,POSITIVE_CHANNEL_CONTROL,0.0005441304874968231,0.002,False,999
P10,POSITIVE_CHANNEL_CONTROL,0.16477653546895416,0.002,False,999
P11,POSITIVE_CHANNEL_CONTROL,0.8712724168473511,0.002,False,999
P12,POSITIVE_CHANNEL_CONTROL,0.9016087287207277,0.002,False,999
A01,ADVERSARIAL_NEAR_NULL,0.0,1.0,False,999
A02,ADVERSARIAL_NEAR_NULL,0.9640968190824128,0.002,False,999
A03,ADVERSARIAL_NEAR_NULL,0.909390058350729,0.002,False,999
A04,ADVERSARIAL_NEAR_NULL,0.8002233013978751,0.002,False,999
A05,ADVERSARIAL_NEAR_NULL,0.9664064331057103,0.002,False,999
A06,ADVERSARIAL_NEAR_NULL,0.3984267455798256,0.002,False,999
