family_id,registered_transform_checks,disagreements,agreement_rate,status
N01,20,0,1.0,PASS
N02,20,0,1.0,PASS
N03,20,0,1.0,PASS
N04,20,0,1.0,PASS
N05,20,0,1.0,PASS
N06,20,0,1.0,PASS
N07,20,0,1.0,PASS
N08,20,0,1.0,PASS
N09,20,0,1.0,PASS
N10,20,0,1.0,PASS
N11,20,0,1.0,PASS
N12,20,0,1.0,PASS
N13,20,0,1.0,PASS
P01,20,0,1.0,PASS
P02,20,0,1.0,PASS
P03,20,0,1.0,PASS
P04,20,0,1.0,PASS
P05,20,0,1.0,PASS
P06,20,0,1.0,PASS
P07,20,0,1.0,PASS
P08,20,0,1.0,PASS
P09,20,0,1.0,PASS
P10,20,0,1.0,PASS
P11,20,0,1.0,PASS
P12,20,0,1.0,PASS
A01,20,0,1.0,PASS
A02,20,0,1.0,PASS
A03,20,0,1.0,PASS
A04,20,0,1.0,PASS
A05,20,0,1.0,PASS
A06,20,0,1.0,PASS
