family_id,channel_truth,sign_errors,realizations,sign_error_rate,wilson_95_low,wilson_95_high
N01,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N02,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N03,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N04,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N05,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N06,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N07,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N08,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N09,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N10,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N11,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N12,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
N13,ABSENT,NOT_APPLICABLE,20,NOT_APPLICABLE,,
P01,PRESENT,0,20,0.0,0.0,0.16112515805281938
P02,PRESENT,0,20,0.0,0.0,0.16112515805281938
P03,PRESENT,0,20,0.0,0.0,0.16112515805281938
P04,PRESENT,0,20,0.0,0.0,0.16112515805281938
P05,PRESENT,0,20,0.0,0.0,0.16112515805281938
P06,PRESENT,0,20,0.0,0.0,0.16112515805281938
P07,PRESENT,0,20,0.0,0.0,0.16112515805281938
P08,PRESENT,0,20,0.0,0.0,0.16112515805281938
P09,PRESENT,0,20,0.0,0.0,0.16112515805281938
P10,PRESENT,0,20,0.0,0.0,0.16112515805281938
P11,PRESENT,0,20,0.0,0.0,0.16112515805281938
P12,PRESENT,0,20,0.0,0.0,0.16112515805281938
A01,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
A02,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
A03,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
A04,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
A05,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
A06,PRESENT_DECOY_NOT_TLD,NOT_APPLICABLE,20,NOT_APPLICABLE,,
