family_id,family_class,geometry_kind,target_channel,channel_truth,parent_index,seed,campaign_id,nested_replicates,observed_score,null_median,observed_minus_null,parent_matched_upper_p,parent_channel_detected,representation_status,transformed_score,universal_TLD_call
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,0,331000,independent-1,1,0.03462822030649182,0.02006827040790173,0.01455994989859009,0.1875,False,PASS,0.0346282203064918,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,1,331001,independent-2,1,0.03959211958857132,0.018568340265988897,0.021023779322582422,0.15625,False,PASS,0.03959211958857131,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,2,331002,independent-3,1,0.07429943331937823,0.02130099150074783,0.0529984418186304,0.0625,False,PASS,0.07429943331937822,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,3,331003,independent-4,1,0.024795095942776017,0.01870501190202581,0.006090084040750208,0.4375,False,PASS,0.024795095942776017,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,4,331004,independent-5,1,0.06358710981303005,0.016863409615050826,0.04672370019797922,0.03125,True,PASS,0.06358710981303005,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,5,331005,independent-6,1,0.0439578384479618,0.022949426627977457,0.021008411819984342,0.1875,False,PASS,0.0439578384479618,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,6,331006,independent-7,1,0.032191969578810105,0.016275162269403405,0.0159168073094067,0.21875,False,PASS,0.032191969578810105,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,7,331007,independent-8,1,0.010698804594797124,0.016162475472882864,-0.00546367087808574,0.65625,False,PASS,0.010698804594797124,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,8,331008,independent-9,1,0.0022494648459040977,0.030209589066345518,-0.02796012422044142,0.9375,False,PASS,0.002249464845904104,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,9,331009,independent-10,1,0.005300545737126476,0.018819972058089173,-0.013519426320962698,0.90625,False,PASS,0.005300545737126485,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,10,331010,independent-11,1,0.040013210542348625,0.018537763817857024,0.0214754467244916,0.21875,False,PASS,0.04001321054234862,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,11,331011,independent-12,1,0.000699844069282465,0.020658654268578016,-0.019958810199295553,0.90625,False,PASS,0.0006998440692824635,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,12,331012,independent-13,1,0.01992324613126252,0.027499925968679496,-0.007576679837416975,0.59375,False,PASS,0.019923246131262527,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,13,331013,independent-14,1,0.0053888558552622175,0.021963032250120383,-0.016574176394858166,0.90625,False,PASS,0.005388855855262214,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,14,331014,independent-15,1,0.04598813299836515,0.021982990714685322,0.024005142283679826,0.21875,False,PASS,0.04598813299836516,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,15,331015,independent-16,1,0.004732938948205798,0.018335623660084285,-0.013602684711878487,0.875,False,PASS,0.0047329389482057985,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,16,331016,independent-17,1,0.03743853951973624,0.01703476006125916,0.02040377945847708,0.25,False,PASS,0.03743853951973625,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,17,331017,independent-18,1,0.02433186620564768,0.0254379046541859,-0.0011060384485382206,0.53125,False,PASS,0.02433186620564768,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,18,331018,independent-19,1,0.0170831708529597,0.024800423363825066,-0.007717252510865365,0.625,False,PASS,0.017083170852959708,NOT_APPLICABLE
N01,TRUE_NEGATIVE,ScalarField2D,neighbor_coherence,ABSENT,19,331019,independent-20,1,0.046424851410975736,0.014923622689130802,0.03150122872184494,0.09375,False,PASS,0.04642485141097575,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,0,332000,independent-1,1,1.1465109900117503,1.185122897638368,-0.038611907626617814,0.6875,False,PASS,1.1465109900117503,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,1,332001,independent-2,1,1.1887622064645929,1.2773998117279066,-0.08863760526331377,0.84375,False,PASS,1.1887622064645929,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,2,332002,independent-3,1,1.2683495684676014,1.3360843924395132,-0.06773482397191177,0.71875,False,PASS,1.2683495684676014,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,3,332003,independent-4,1,1.3051803244085882,1.278942824177605,0.026237500230983146,0.4375,False,PASS,1.3051803244085882,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,4,332004,independent-5,1,1.2071007057080818,1.2123755046726736,-0.00527479896459182,0.53125,False,PASS,1.2071007057080818,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,5,332005,independent-6,1,1.1663190350572938,1.1538504957410922,0.012468539316201621,0.5,False,PASS,1.1663190350572938,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,6,332006,independent-7,1,1.3906727528218477,1.3362810318208795,0.05439172100096812,0.0625,False,PASS,1.3906727528218477,NOT_APPLICABLE
N02,TRUE_NEGATIVE,VectorField2D,curl_energy,ABSENT,7,332007,independent-8,1,1.314027978426533,1.2717433363774064,0.04228464204912652,0.34375,False,PASS,1.314027978426533,NOT_APPLICABLE
