family_id,target_channel,false_positives,realizations,estimated_type_I_error,wilson_95_low,wilson_95_high,universal_TLD_false_positive
N01,neighbor_coherence,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N02,curl_energy,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N03,volume_neighbor,0,20,0.0,0.0,0.16112515805281938,NOT_DEFINED
N04,temporal_lag,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N05,graph_spectral_radius,2,20,0.1,0.027866481213768224,0.3010336452284873,NOT_DEFINED
N06,directed_three_cycle,0,20,0.0,0.0,0.16112515805281938,NOT_DEFINED
N07,point_coherence,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N08,winding_number,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N09,low_rank_concentration,0,20,0.0,0.0,0.16112515805281938,NOT_DEFINED
N10,cross_component_correlation,0,20,0.0,0.0,0.16112515805281938,NOT_DEFINED
N11,neighbor_coherence,1,20,0.05,0.008881448800795402,0.23613119344674205,NOT_DEFINED
N13,curl_energy,0,20,0.0,0.0,0.16112515805281938,NOT_DEFINED
