parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
1,10,0.0,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.0,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.9,0.8,0.4,0.2,0.15,3,0.0,2500
2,10,0.0,0.0,0.4,0.2,0.15,3,0.1524,2500
2,10,0.0,0.8,0.4,0.2,0.15,3,0.294,2500
2,10,0.3,0.0,0.4,0.2,0.15,3,0.1672,2500
2,10,0.3,0.8,0.4,0.2,0.15,3,0.2484,2500
2,10,0.6,0.0,0.4,0.2,0.15,3,0.1596,2500
2,10,0.6,0.8,0.4,0.2,0.15,3,0.198,2500
2,10,0.9,0.0,0.4,0.2,0.15,3,0.1672,2500
2,10,0.9,0.8,0.4,0.2,0.15,3,0.2024,2500
4,10,0.0,0.0,0.4,0.2,0.15,3,0.1472,2500
4,10,0.0,0.8,0.4,0.2,0.15,3,0.3944,2500
4,10,0.3,0.0,0.4,0.2,0.15,3,0.1496,2500
4,10,0.3,0.8,0.4,0.2,0.15,3,0.302,2500
4,10,0.6,0.0,0.4,0.2,0.15,3,0.1408,2500
4,10,0.6,0.8,0.4,0.2,0.15,3,0.2532,2500
4,10,0.9,0.0,0.4,0.2,0.15,3,0.1348,2500
4,10,0.9,0.8,0.4,0.2,0.15,3,0.236,2500
6,10,0.0,0.0,0.4,0.2,0.15,3,0.0852,2500
6,10,0.0,0.8,0.4,0.2,0.15,3,0.4108,2500
6,10,0.3,0.0,0.4,0.2,0.15,3,0.0808,2500
6,10,0.3,0.8,0.4,0.2,0.15,3,0.314,2500
6,10,0.6,0.0,0.4,0.2,0.15,3,0.0808,2500
6,10,0.6,0.8,0.4,0.2,0.15,3,0.2424,2500
6,10,0.9,0.0,0.4,0.2,0.15,3,0.0788,2500
6,10,0.9,0.8,0.4,0.2,0.15,3,0.2136,2500
8,10,0.0,0.0,0.4,0.2,0.15,3,0.0676,2500
8,10,0.0,0.8,0.4,0.2,0.15,3,0.4328,2500
8,10,0.3,0.0,0.4,0.2,0.15,3,0.0604,2500
8,10,0.3,0.8,0.4,0.2,0.15,3,0.324,2500
8,10,0.6,0.0,0.4,0.2,0.15,3,0.062,2500
8,10,0.6,0.8,0.4,0.2,0.15,3,0.2484,2500
8,10,0.9,0.0,0.4,0.2,0.15,3,0.054,2500
8,10,0.9,0.8,0.4,0.2,0.15,3,0.2276,2500
12,10,0.0,0.0,0.4,0.2,0.15,3,0.0428,2500
12,10,0.0,0.8,0.4,0.2,0.15,3,0.5008,2500
12,10,0.3,0.0,0.4,0.2,0.15,3,0.0412,2500
12,10,0.3,0.8,0.4,0.2,0.15,3,0.3924,2500
12,10,0.6,0.0,0.4,0.2,0.15,3,0.0412,2500
12,10,0.6,0.8,0.4,0.2,0.15,3,0.3004,2500
12,10,0.9,0.0,0.4,0.2,0.15,3,0.0464,2500
12,10,0.9,0.8,0.4,0.2,0.15,3,0.2448,2500
20,10,0.0,0.0,0.4,0.2,0.15,3,0.0332,2500
20,10,0.0,0.8,0.4,0.2,0.15,3,0.6724,2500
20,10,0.3,0.0,0.4,0.2,0.15,3,0.0304,2500
20,10,0.3,0.8,0.4,0.2,0.15,3,0.5284,2500
20,10,0.6,0.0,0.4,0.2,0.15,3,0.0384,2500
20,10,0.6,0.8,0.4,0.2,0.15,3,0.4172,2500
20,10,0.9,0.0,0.4,0.2,0.15,3,0.0324,2500
20,10,0.9,0.8,0.4,0.2,0.15,3,0.3496,2500
