parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,2500
1,1,0.0,0.0,0.4,0.0,0.0,1,0.0,2500
1,1,0.0,0.0,0.4,0.2,0.15,3,0.0,2500
1,1,0.0,0.0,0.0,0.2,0.15,6,0.0,2500
1,1,0.0,0.4,0.0,0.0,0.0,1,0.0,2500
1,1,0.0,0.4,0.4,0.0,0.0,1,0.0,2500
1,1,0.0,0.4,0.4,0.2,0.15,3,0.0,2500
1,1,0.0,0.4,0.0,0.2,0.15,6,0.0,2500
1,1,0.0,0.8,0.0,0.0,0.0,1,0.0,2500
1,1,0.0,0.8,0.4,0.0,0.0,1,0.0,2500
1,1,0.0,0.8,0.4,0.2,0.15,3,0.0,2500
1,1,0.0,0.8,0.0,0.2,0.15,6,0.0,2500
1,1,0.0,1.2,0.0,0.0,0.0,1,0.0,2500
1,1,0.0,1.2,0.4,0.0,0.0,1,0.0,2500
1,1,0.0,1.2,0.4,0.2,0.15,3,0.0,2500
1,1,0.0,1.2,0.0,0.2,0.15,6,0.0,2500
1,1,0.3,0.0,0.0,0.0,0.0,1,0.0,2500
1,1,0.3,0.0,0.4,0.0,0.0,1,0.0,2500
1,1,0.3,0.0,0.4,0.2,0.15,3,0.0,2500
1,1,0.3,0.0,0.0,0.2,0.15,6,0.0,2500
1,1,0.3,0.4,0.0,0.0,0.0,1,0.0,2500
1,1,0.3,0.4,0.4,0.0,0.0,1,0.0,2500
1,1,0.3,0.4,0.4,0.2,0.15,3,0.0,2500
1,1,0.3,0.4,0.0,0.2,0.15,6,0.0,2500
1,1,0.3,0.8,0.0,0.0,0.0,1,0.0,2500
1,1,0.3,0.8,0.4,0.0,0.0,1,0.0,2500
1,1,0.3,0.8,0.4,0.2,0.15,3,0.0,2500
1,1,0.3,0.8,0.0,0.2,0.15,6,0.0,2500
1,1,0.3,1.2,0.0,0.0,0.0,1,0.0,2500
1,1,0.3,1.2,0.4,0.0,0.0,1,0.0,2500
1,1,0.3,1.2,0.4,0.2,0.15,3,0.0,2500
1,1,0.3,1.2,0.0,0.2,0.15,6,0.0,2500
1,1,0.6,0.0,0.0,0.0,0.0,1,0.0,2500
1,1,0.6,0.0,0.4,0.0,0.0,1,0.0,2500
1,1,0.6,0.0,0.4,0.2,0.15,3,0.0,2500
1,1,0.6,0.0,0.0,0.2,0.15,6,0.0,2500
1,1,0.6,0.4,0.0,0.0,0.0,1,0.0,2500
1,1,0.6,0.4,0.4,0.0,0.0,1,0.0,2500
1,1,0.6,0.4,0.4,0.2,0.15,3,0.0,2500
1,1,0.6,0.4,0.0,0.2,0.15,6,0.0,2500
1,1,0.6,0.8,0.0,0.0,0.0,1,0.0,2500
1,1,0.6,0.8,0.4,0.0,0.0,1,0.0,2500
1,1,0.6,0.8,0.4,0.2,0.15,3,0.0,2500
1,1,0.6,0.8,0.0,0.2,0.15,6,0.0,2500
1,1,0.6,1.2,0.0,0.0,0.0,1,0.0,2500
1,1,0.6,1.2,0.4,0.0,0.0,1,0.0,2500
1,1,0.6,1.2,0.4,0.2,0.15,3,0.0,2500
1,1,0.6,1.2,0.0,0.2,0.15,6,0.0,2500
1,1,0.9,0.0,0.0,0.0,0.0,1,0.0,2500
1,1,0.9,0.0,0.4,0.0,0.0,1,0.0,2500
1,1,0.9,0.0,0.4,0.2,0.15,3,0.0,2500
1,1,0.9,0.0,0.0,0.2,0.15,6,0.0,2500
1,1,0.9,0.4,0.0,0.0,0.0,1,0.0,2500
1,1,0.9,0.4,0.4,0.0,0.0,1,0.0,2500
1,1,0.9,0.4,0.4,0.2,0.15,3,0.0,2500
1,1,0.9,0.4,0.0,0.2,0.15,6,0.0,2500
1,1,0.9,0.8,0.0,0.0,0.0,1,0.0,2500
1,1,0.9,0.8,0.4,0.0,0.0,1,0.0,2500
1,1,0.9,0.8,0.4,0.2,0.15,3,0.0,2500
1,1,0.9,0.8,0.0,0.2,0.15,6,0.0,2500
1,1,0.9,1.2,0.0,0.0,0.0,1,0.0,2500
1,1,0.9,1.2,0.4,0.0,0.0,1,0.0,2500
1,1,0.9,1.2,0.4,0.2,0.15,3,0.0,2500
1,1,0.9,1.2,0.0,0.2,0.15,6,0.0,2500
1,10,0.0,0.0,0.0,0.0,0.0,1,0.0,2500
1,10,0.0,0.0,0.4,0.0,0.0,1,0.0,2500
1,10,0.0,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.0,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.0,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.0,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.0,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.0,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.0,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.0,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.0,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.0,0.8,0.0,0.2,0.15,6,0.0,2500
1,10,0.0,1.2,0.0,0.0,0.0,1,0.0,2500
1,10,0.0,1.2,0.4,0.0,0.0,1,0.0,2500
1,10,0.0,1.2,0.4,0.2,0.15,3,0.0,2500
1,10,0.0,1.2,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,0.0,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,0.0,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,0.8,0.0,0.2,0.15,6,0.0,2500
1,10,0.3,1.2,0.0,0.0,0.0,1,0.0,2500
1,10,0.3,1.2,0.4,0.0,0.0,1,0.0,2500
1,10,0.3,1.2,0.4,0.2,0.15,3,0.0,2500
1,10,0.3,1.2,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.0,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.0,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.0,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.0,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.4,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.4,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.4,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.4,0.0,0.2,0.15,6,0.0,2500
1,10,0.6,0.8,0.0,0.0,0.0,1,0.0,2500
1,10,0.6,0.8,0.4,0.0,0.0,1,0.0,2500
1,10,0.6,0.8,0.4,0.2,0.15,3,0.0,2500
1,10,0.6,0.8,0.0,0.2,0.15,6,0.0,2500
