true_period,predicted_period,count
4,4,96
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,18,0
4,20,0
4,24,0
4,28,0
4,32,0
5,4,0
5,5,96
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,18,0
5,20,0
5,24,0
5,28,0
5,32,0
6,4,0
6,5,0
6,6,96
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,18,0
6,20,0
6,24,0
6,28,0
6,32,0
7,4,0
7,5,0
7,6,0
7,7,96
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,18,0
7,20,0
7,24,0
7,28,0
7,32,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,96
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,18,0
8,20,0
8,24,0
8,28,0
8,32,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0
9,9,96
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,18,0
9,20,0
9,24,0
9,28,0
9,32,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,96
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,18,0
10,20,0
10,24,0
10,28,0
10,32,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,96
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,18,0
11,20,0
11,24,0
11,28,0
11,32,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
12,12,96
12,13,0
12,14,0
12,15,0
12,16,0
12,18,0
12,20,0
12,24,0
12,28,0
12,32,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,96
13,14,0
13,15,0
13,16,0
13,18,0
13,20,0
13,24,0
13,28,0
13,32,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,96
14,15,0
14,16,0
14,18,0
14,20,0
14,24,0
14,28,0
14,32,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,0
15,14,0
15,15,96
15,16,0
15,18,0
15,20,0
15,24,0
15,28,0
15,32,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,96
16,18,0
16,20,0
16,24,0
16,28,0
16,32,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,18,96
18,20,0
18,24,0
18,28,0
18,32,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,18,0
20,20,96
20,24,0
20,28,0
20,32,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,18,0
24,20,0
24,24,96
24,28,0
24,32,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,0
28,16,0
28,18,0
28,20,0
28,24,0
28,28,96
28,32,0
32,4,0
32,5,0
32,6,0
32,7,0
32,8,0
32,9,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,0
32,15,0
32,16,0
32,18,0
32,20,0
32,24,0
32,28,0
32,32,96
