candidate,family_id,effect_support,successes,trials,rate,wilson_low,wilson_high
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_07,"{""SIGNED_VECTOR"":""POSITIVE_AND_NEGATIVE_LOCAL_DOMAINS""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_08,"{""SIGNED_VECTOR"":""POSITIVE_AND_NEGATIVE_LOCAL_DOMAINS_GLOBAL_ZERO""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_16,"{""SIGNED_VECTOR"":""REFLECTED_PSEUDOSCALAR_SIGN""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_17,"{""SIGNED_VECTOR"":""PROPER_ROTATION_EQUIVALENT""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_31,"{""SIGNED_VECTOR"":""OSCILLATORY_LOCAL_CHIRALITY"",""TEMPORAL_CROSS_SPECTRUM"":{""period"":12}}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_32,"{""SIGNED_VECTOR"":""DIRECTION_REVERSAL_PRESENT"",""TEMPORAL_CROSS_SPECTRUM"":""ABSTAIN_NONSTATIONARY_BURST""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_35,"{""SIGNED_VECTOR"":""NESTED_REPLICATES_NOT_PARENTS""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_36,"{""SIGNED_VECTOR"":""CAMPAIGNS_ARE_HIGHEST_INFERENCE_LEVEL""}",96,96,1.0,0.9615244121423243,1.0
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_39,"{""SIGNED_VECTOR"":""NULL_NO_DIRECTION_DECISION""}",0,0,,nan,nan
PHASE_V3_A_SIGNED_VECTOR_BASELINE,SYN_40,"{""SIGNED_VECTOR"":""NULL_COMPATIBLE_AFTER_DOMAIN_BASELINE""}",0,0,,nan,nan
